id	user_id	sound_sample	sound_file_1	sound_file_2	human	preferred	distinction	comment
14	3	03.wav	c	b	2	2	5	
15	3	04.wav	b	a	1	1	5	
16	3	05.wav	a	b	2	2	5	
17	3	03.wav	b	a	2	2	3	
18	3	01.wav	a	b	1	1	3	
19	3	05.wav	b	c	1	1	1	
20	3	02.wav	b	a	1	1	3	
21	3	07.wav	c	a	2	2	5	
22	3	08.wav	c	b	2	2	5	
23	3	06.wav	c	b	2	2	4	
24	3	04.wav	c	a	2	2	3	
25	3	01.wav	b	c	1	1	4	
26	4	06.wav	a	c	2	2	2	
27	4	03.wav	a	b	2	2	2	
28	4	06.wav	b	a	2	2	2	
29	4	05.wav	c	b	2	2	5	
30	4	01.wav	c	b	2	2	5	
31	4	04.wav	c	b	1	1	1	
32	4	08.wav	a	c	2	2	4	
33	4	04.wav	a	b	2	2	1	
34	4	05.wav	b	a	2	2	2	
35	4	07.wav	a	b	2	2	4	
36	4	08.wav	b	c	2	2	4	
37	4	02.wav	c	b	2	2	3	
38	5	07.wav	a	b	2	2	4	The rhythms,  musical intention and dynamics are clearly different.
39	5	08.wav	c	b	2	2	4	
40	5	03.wav	b	a	1	1	5	
41	5	05.wav	a	c	2	2	3	
42	5	01.wav	b	a	2	2	3	
43	5	07.wav	c	b	2	2	2	It's getting harder...
44	5	08.wav	a	c	1	1	2	
45	5	04.wav	b	a	2	2	3	
46	5	06.wav	a	b	2	2	3	
47	5	02.wav	b	c	1	1	2	
48	5	04.wav	b	c	2	2	4	
49	5	06.wav	b	c	2	2	3	
50	6	07.wav	c	a	1	1	4	
51	6	01.wav	a	b	1	1	5	
52	6	02.wav	b	c	2	2	3	
53	6	07.wav	a	b	1	1	4	
54	6	06.wav	b	c	2	2	4	
55	6	04.wav	a	c	1	1	4	
56	6	03.wav	b	c	2	2	4	
57	6	08.wav	b	a	2	2	5	
58	6	01.wav	b	c	2	2	3	
59	6	02.wav	a	b	2	2	4	
60	6	05.wav	b	a	2	2	4	
61	6	05.wav	c	b	1	1	2	
62	7	02.wav	b	a	1	1	4	
63	7	08.wav	a	c	1	1	3	
64	7	04.wav	a	b	2	2	5	
65	7	03.wav	a	b	2	2	3	
66	7	06.wav	c	a	2	2	5	
67	7	01.wav	b	a	2	2	1	
68	7	04.wav	c	b	2	2	5	
69	7	01.wav	b	c	1	1	2	
70	7	07.wav	c	b	1	1	4	
71	7	05.wav	b	a	2	1	4	
72	7	08.wav	b	c	1	1	3	
73	7	06.wav	b	c	2	2	3	
74	8	03.wav	c	b	2	2	5	
75	8	07.wav	a	b	1	1	2	
76	8	02.wav	a	b	2	2	4	
77	8	01.wav	a	b	2	2	4	
78	8	05.wav	b	a	1	1	4	
79	8	08.wav	a	b	1	1	5	
80	8	07.wav	c	a	1	1	1	
81	8	08.wav	c	a	2	2	3	
82	8	02.wav	c	b	1	1	3	
83	8	06.wav	c	b	1	1	3	
84	8	04.wav	b	c	1	1	5	
85	8	05.wav	b	c	2	2	4	
86	9	06.wav	c	a	2	2	3	
87	9	03.wav	a	b	1	1	2	
88	9	04.wav	b	c	2	2	5	
89	9	06.wav	a	b	1	1	4	
90	9	05.wav	b	c	2	2	3	
91	9	01.wav	a	c	2	2	3	
92	9	02.wav	b	c	2	2	2	
93	9	01.wav	b	c	1	1	2	
